==============================================================================
MEDIA-PLAYBACK-REVIEWERS AUTHOR-PATCH LISTING (raw author %an, no aliasing)
Source: github.com/mozilla-firefox/firefox   Paths: dom/media   Since: 2025-12-03T18:46:16Z
Excluded paths: dom/media/webrtc, dom/media/systemservices
Authors: 63    Patches: 681    (Lando-format / Lando-author / merge / Revert commits already excluded)
==============================================================================

Known aliases (applied in HTML report, NOT below):
  alastor0325, alwu  ->  Alastor Wu
  az  ->  azebrowski

==============================================================================

[ 1] Alastor Wu  —  88 patch(es)
    ----------------------------------------------------------------------
      2026-03-24  5ac177e5da78  Bug 2025481 - Add missing shutdown guards to WMFCDMProxy. r=media-playback-reviewers,kinetik
      2026-03-20  31a7fd8cb459  Bug 2000167 - Improve test logging and run videos sequentially. r=media-playback-reviewers,jolin
      2026-03-03  9d32487848ce  Bug 1990057 - Add a Glean labeled boolean for WMF codecs missing their Windows extension. r=media-playback-reviewers,padenot
      2026-02-23  9172b0fe9b4a  Bug 1990057 - Add a Glean labeled boolean for WMF codecs missing their Windows extension. r=media-playback-reviewers,padenot
      2026-02-20  aa14d3bfe7c6  Bug 1793248 - Throw NotSupportedError instead of NS_ERROR_FAILURE when capturing EME element. r=media-playback-reviewers,aosmond
      2026-02-18  496e4dd3657d  Bug 2011452 - part2 : preserve played TimeRanges across seamless looping. r=padenot
      2026-02-17  df67f3dd09ea  Bug 2014861 - add test. r=media-playback-reviewers,pehrsons
      2026-02-17  1b836051413d  Bug 2014850 - Add a crash test. r=media-playback-reviewers,karlt
      2026-02-13  2213c6d321e9  Bug 2016105 - only access `mVolume` on the graph thread. r=media-playback-reviewers,karlt
      2026-02-12  5c35a72319f5  Bug 2014861 - Use taskQueue for MediaCapabilities promise aggregation. r=pehrsons
      2026-02-12  5aff4da7cdb6  Bug 2014850 - Return error from ParseTrun() when decode time is too large. r=media-playback-reviewers,karlt
      2026-02-11  afdb83876aa4  Bug 2010427 - part5 : add a loopback test for MediaElementAudioSourceNode. r=pehrsons
      2026-02-11  ec3af719c70a  Bug 2010427 - part4 : switch RMS measurement to ScriptProcessorNode and add volume tests. r=pehrsons
