==============================================================================
GFX-REVIEWERS AUTHOR-PATCH LISTING (raw author %an, no aliasing)
Source: github.com/mozilla-firefox/firefox   Paths: gfx, image, dom/canvas, dom/webgpu   Since: 2025-12-06T21:52:34Z
Excluded paths: gfx/angle, gfx/cairo, gfx/skia, gfx/harfbuzz, gfx/ots, gfx/sfntly, gfx/graphite2
Authors: 105    Patches: 1348    (Lando-format / Lando-author / merge / Revert commits already excluded)
==============================================================================

Known aliases (applied in HTML report, NOT below):
  alastor0325, alwu  ->  Alastor Wu
  az  ->  azebrowski

==============================================================================

[ 1] Nicolas Silva  —  229 patch(es)
    ----------------------------------------------------------------------
      2026-03-11  9e52c7e02dcd  Bug 2020923 - Fix some repeated patterns incorrectly treated as opaque. r=gw
      2026-03-11  7332426ef13b  Bug 2020923 - Disable the remaining use of non-quad linear gradients. r=gw
      2026-03-11  d2f94fc0cc27  Bug 2019934 - Make getting the source texture of a quad primitive fallible. r=gw
      2026-03-11  fe695188a69d  Bug 2019934 - Skip an intermediate pass if the source of the repeat shader is already a render task. r=gw
      2026-03-11  381499a3aaa5  Bug 2019934 - Use the ps_quad_textured shader for image primitives in simple cases. r=gw
      2026-03-09  1dba8d69e747  Bug 2020923 - Make the repetition iterator more NaN-proof. r=gfx-reviewers,lsalzman
      2026-03-09  5d0ae1481533  Bug 2020923 - Avoid referring to clips across iframes in a wrench test. r=gw
      2026-03-09  8e5b9933cb3f  Bug 2020923 - Fix some repeated patterns incorrectly treated as opaque. r=gw
      2026-03-09  77d609a90861  Bug 2020923 - Disable the remaining use of non-quad linear gradients. r=gw
      2026-03-09  af35545ad187  Bug 2019934 - Make getting the source texture of a quad primitive fallible. r=gw
      2026-03-09  010f94e29173  Bug 2019934 - Skip an intermediate pass if the source of the repeat shader is already a render task. r=gw
      2026-03-09  414c1db7cfe0  Bug 2019934 - Use the ps_quad_textured shader for image primitives in simple cases. r=gw
      2026-03-05  e066d3647cf7  Bug 2020923 - Avoid referring to clips across iframes in a wrench test. r=gw
      2026-03-05  87dbc7ca994c  Bug 2020923 - Fix some repeated patterns incorrectly treated as opaque. r=gw
      2026-03-05  bd25994108fb  Bug 2020923 - Disable the remaining use of non-quad linear gradients. r=gw
      2026-03-05  48de01771025  Bug 2019934 - Make getting the source texture of a quad primitive fallible. r=gw
      2026-03-05  97a5d7520802  Bug 2019934 - Skip an intermediate pass if the source of the repeat shader is already a render task. r=gw
      2026-03-05  f360d9be5c11  Bug 2019934 - Use the ps_quad_textured shader for image primitives in simple cases. r=gw
      2026-03-03  c9c5a2c8cd39  Bug 2019934 - Allow the textured quad shader to map to either segment or prim bounds. r=gw
      2026-03-03  297472668aba  Bug 2019934 - Pass the color/texture mode explicitly to the textured quad shader. r=gw
      2026-03-03  45854b4101a4  Bug 2019934 - Fix incorrect repeated UVs when there is tile spacing. r=gw
      2026-03-03  8d9792eaf080  Bug 2019872 - Prevent (cached) indirect quads from accidentally showing previous contents of the target. r=gw
      2026-03-03  56aa4f231e11  Bug 2019940 - Down-scale indrect tasks if they are too large. r=gw
      2026-03-03  f8e4be939855  Bug 2019514 - Work around a precision issue in linear gradients with hard stops. r=gfx-reviewers,layout-reviewers,jnicol,emilio
      2026-02-25  698b437febec  Bug 2018628 - Port gradient border nine-patches to quad shaders. r=gw
      2026-02-25  34aecb829078  Bug 2018628 - Extract the part of the nine-patch decomposition code that can be reused for quads. r=gw
      2026-02-23  8cdd9ed784de  Bug 2018240 - Simplify some parameter lists in quad.rs. r=gw
      2026-02-23  d949b6f4deec  Bug 2018240 - Remove the shared pattern. r=gw
      2026-02-23  91211312287e  Bug 2018240 - Remove the first attempt at implementing quad box-shadows. r=gw
      2026-02-23  457197ac6c66  Bug 2017031 - Check the task size of indirect quad segments. r=gw
      2026-02-23  0d14d6c52199  Bug 1978773 - Enable precise linear gradients (GPU-only). r=gfx-reviewers,lsalzman
      2026-02-23  1410f36c4ab5  Bug 2017919 - Include the device space origin in the cache key. r=gw
      2026-02-23  98a28ba78146  Bug 2018549 - Improve wrench reftest manifest parsing. r=gfx-reviewers,jnicol
      2026-02-23  49e28ee57ec6  Bug 2016125 - Disable caching for manually repeated quads. r=gw
      2026-02-23  f19b64bd94ab  Bug 2016125 - Add a SWGL fast path for repeated patterns without spacing. r=gw
      2026-02-23  73b4d6146107  Bug 2016125 - Prevent clipped out segments from being emitted. r=gw
      2026-02-23  5e55555e23d8  Bug 2016125 - Introduce a pattern offset for manually repeated patterns. r=gw
      2026-02-23  6f8a450a342f  Bug 2016125 - Reenable the quads path when there are repetitions. r=gw
      2026-02-23  6a523786368c  Bug 2016125 - Add a repeating quad shader. r=gw
      2026-02-23  7542018bbacd  Bug 2016125 - Extract the code to render the indirect pattern into its own function. r=gw
      2026-02-17  4c201b6b6cf6  Bug 2016114 - Remove the non-precise quad radial and conic gradient shaders. r=gw
      2026-02-17  a8fdd37f0745  Bug 2016067 - Move the box-shadow pattern into the pattern module. r=gw
