==============================================================================
LAYOUT-REVIEWERS AUTHOR-PATCH LISTING (raw author %an, no aliasing)
Source: github.com/mozilla-firefox/firefox   Paths: layout   Since: 2026-03-12T17:06:31Z
Excluded paths: (none)
Authors: 121    Patches: 1326    (Lando-format / Lando-author / merge / Revert commits already excluded)
==============================================================================

Known aliases (applied in HTML report, NOT below):
  alastor0325, alwu  ->  Alastor Wu
  az  ->  azebrowski

==============================================================================

[ 1] Emilio Cobos Álvarez  —  242 patch(es)
    ----------------------------------------------------------------------
      2026-06-03  753827d74982  Bug 2029839 - More consistent selection color drawing. r=jjaschke
      2026-05-27  dfb3d67fae29  Bug 2007841 - GC the stylesheet cache. r=firefox-style-system-reviewers,dshin
      2026-05-26  ed76919148a0  Bug 2042421 - Simplify css::Loader::NewStyleSheetChannel. r=firefox-style-system-reviewers,dshin
      2026-05-26  7a585271cade  Bug 2042421 - Make StyleSheet::mParsingMode const. r=firefox-style-system-reviewers,dshin
      2026-05-26  a49a71cc6e3e  Bug 2034406 - Preserve vector commands in MozPrintCallback. r=lsalzman
      2026-05-25  c50b9a0d5978  Bug 2041235 - Avoid triggering table selection outside text control. r=smaug
      2026-05-22  a0c49d6f4f71  Bug 2015967 - Switch windows mutex / condvar implementation to a futex. r=nika
      2026-05-19  bec09b762c6b  Bug 1990533 - Fix border-collapsed border painting with rowspan. r=layout-reviewers,dshin
      2026-05-19  b64a7f45e3f8  Bug 2039479 - Don't cache attr-referencing lazy pseudo styles. r=firefox-style-system-reviewers,dshin
      2026-05-19  39ef69b1abfd  Bug 2040020 - Fix the special-case in bug 2014986 when inserting in overflow containers. r=TYLin
      2026-05-19  159a37441328  Bug 2040319 - Add early exit in RestoreFrameStateFor when there's no state to be restored. r=jwatt
      2026-05-16  18e5fb40d97a  Bug 2039315 - Account for button in input intrinsic size. r=layout-reviewers,dshin
      2026-05-14  4a0b38bfb466  Bug 2034406 - Preserve vector commands in MozPrintCallback. r=lsalzman
      2026-05-14  64f8770e451b  Bug 2039504 - Don't allow <input> / <textarea> to have a first-line/letter. r=layout-reviewers,jfkthame
      2026-05-14  4015a65b8bf7  Bug 2034406 - Preserve vector commands in MozPrintCallback. r=lsalzman
      2026-05-13  e4ecfea5300f  Bug 2038976 - Make CSSOM work on raw declaration blocks, rather than DeclarationBlock. r=firefox-style-system-reviewers,layout-reviewers,dshin
      2026-05-12  f7e0f764d464  Bug 2038976 - Move immutable flag from DeclarationBlock to Rust. r=firefox-style-system-reviewers,dshin
      2026-05-12  7f29b8ded8a1  Bug 1878994 - Use TreeScoped for PositionTryFallbacks. r=dshin,firefox-style-system-reviewers,layout-reviewers
      2026-05-12  2c0fd390fbcc  Bug 2037745 - Fix 32-bit builds.
      2026-05-12  be5ff63c9624  Bug 2037745 - Port computed::LengthPercentage to NumericUnion. r=firefox-style-system-reviewers,dshin
      2026-05-11  d0b38b16a9f3  Bug 2038545 - Generalize the "dirty style attribute" hack to apply to all declarations. r=firefox-style-system-reviewers,dshin
      2026-05-11  69a6da6b2f5f  Bug 2038512 - Make line clamping happen at used value time. r=jwatt
      2026-05-08  776b68a1a214  Bug 2038136 - Implement image(<color>), and make none in light-dark() compute to image(transparent). r=firefox-style-system-reviewers,layout-reviewers,dshin
      2026-05-07  601d17af339e  Bug 2035918 - Simplify root SVG sizing. r=firefox-svg-reviewers,longsonr
      2026-05-06  139d1a428ff3  Bug 2023450 - Honor CSS display on <select> with appearance: base/base-select. r=keithamus
      2026-05-02  22f942bd6d6d  Bug 2033243 - BindToOwner -> BindToGlobal. r=dom-core,smaug
      2026-05-02  1bd0da8bf764  Bug 2033243 - Rename GetOwnerGlobal to GetRelevantGlobal. r=dom-core,media-playback-reviewers,credential-management-reviewers,webrtc-reviewers,dom-storage-reviewers,firefox-style-system-reviewers,dimi,janv,dshin,aosmond,smaug
      2026-05-02  e833a1757bf7  Bug 2033243 - Replace ownerGlobal with documentGlobal, and stop exposing ownerGlobal to JS. r=firefox-desktop-core-reviewers ,webidl,joschmidt,perftest-reviewers,sparky,smaug,mossop ,webidl,joschmidt,perftest-reviewers,sparky,smaug,mossop
      2026-05-02  5a95a889e1e8  Bug 2033243 - BindToOwner -> BindToGlobal. r=dom-core,smaug
      2026-05-02  7177a68e67c5  Bug 2033243 - Rename GetOwnerGlobal to GetRelevantGlobal. r=dom-core,media-playback-reviewers,credential-management-reviewers,webrtc-reviewers,dom-storage-reviewers,firefox-style-system-reviewers,dimi,janv,dshin,aosmond,smaug
      2026-05-02  526325469022  Bug 2033243 - Replace ownerGlobal with documentGlobal, and stop exposing ownerGlobal to JS. r=firefox-desktop-core-reviewers ,webidl,joschmidt,perftest-reviewers,sparky,smaug,mossop ,webidl,joschmidt,perftest-reviewers,sparky,smaug,mossop
      2026-05-02  fd174eb51e1c  Bug 2036517 - Use the kid content box rather than plain scrollport for button centering. r=layout-reviewers,dshin
      2026-05-02  b4d3406078f8  Bug 2036156 - Remove asserts that can happen with crazy sizes. r=layout-reviewers,dshin
      2026-05-02  237a75662c53  Bug 2036150 - Don't assume that ForceStackingContext puts everything in PositionedDescendants(). r=tnikkel,layout-reviewers
      2026-05-02  622f896f88c7  Bug 2036150 - Minor clean-up to ScrollContainerFrame::AppendScrollPartsTo. r=layout-reviewers,hiro
      2026-05-01  84ca206f3eb1  Bug 2033243 - BindToOwner -> BindToGlobal. r=dom-core,smaug
      2026-05-01  a7945292ed30  Bug 2033243 - Rename GetOwnerGlobal to GetRelevantGlobal. r=dom-core,media-playback-reviewers,credential-management-reviewers,webrtc-reviewers,dom-storage-reviewers,firefox-style-system-reviewers,dimi,janv,dshin,aosmond,smaug
      2026-05-01  367d83d299b4  Bug 2033243 - Replace ownerGlobal with documentGlobal, and stop exposing ownerGlobal to JS. r=firefox-desktop-core-reviewers ,webidl,joschmidt,perftest-reviewers,sparky,smaug,mossop
      2026-04-30  8c05fa695a04  Bug 2035681 - Tweak how we layout the editor root with placeholder enabled. r=layout-reviewers,firefox-style-system-reviewers,dshin
      2026-04-30  c549b667cd04  Bug 1897279 - Record last successful fallback at ResizeObserver time. r=dshin,layout-anchor-positioning-reviewers,firefox-style-system-reviewers,layout-reviewers
      2026-04-30  8873ddf33ccd  Bug 2033243 - BindToOwner -> BindToGlobal. r=dom-core,smaug
      2026-04-30  8bf999e03c2c  Bug 2033243 - Rename GetOwnerGlobal to GetRelevantGlobal. r=dom-core,media-playback-reviewers,credential-management-reviewers,webrtc-reviewers,dom-storage-reviewers,firefox-style-system-reviewers,dimi,janv,dshin,aosmond,smaug
      2026-04-30  7dea1af2e034  Bug 2033243 - Replace ownerGlobal with documentGlobal, and stop exposing ownerGlobal to JS. r=firefox-desktop-core-reviewers ,webidl,joschmidt,perftest-reviewers,sparky,smaug,mossop
      2026-04-29  7d0f557077f3  Bug 2026033 - Remove StyleSheet::mRelevantGlobal. r=smaug
      2026-04-29  f2eff5fce296  Bug 2035941 - Remove DOS newlines from layout/reftests/svg/sizing. r=layout-reviewers,boris
      2026-04-29  fb61e154ecab  Bug 2034897 - Fix aspect-ratio handling in ComputeSizeWithIntrinsicDimensions. r=boris,firefox-style-system-reviewers,layout-reviewers,firefox-svg-reviewers,longsonr
      2026-04-29  a1dfe5ea5326  Bug 2035591 - Make sServoFFILock a mutex. r=jrmuizel,diegociudadreale
      2026-04-28  68df57dca6ec  Bug 1930674 - Don't consider will-change: transform an always-active layer. r=gfx-reviewers,jrmuizel
      2026-04-28  59ca12148234  Bug 2035443 - Remove unneeded lock for StaticPresData. r=jfkthame,layout-reviewers
      2026-04-28  1ddad57128b8  Bug 2034055 - Clean up NodeList / HTMLCollection set-up. r=smaug
      2026-04-28  b9a0d7190090  Bug 2034055 - Make HTMLOptionsCollection use nsContentList. r=dom-core,smaug
      2026-04-28  cde3e5607b6f  Bug 2034055 - Clean up NodeList / HTMLCollection set-up. r=smaug
      2026-04-27  fd37a5a8cba2  Bug 2034055 - Make HTMLOptionsCollection use nsContentList. r=dom-core,smaug
      2026-04-24  e562ea4a57c4  Bug 2034573 - Fix text input rendering with text-indent. r=layout-reviewers,dholbert
      2026-04-24  91b23e5896df  Bug 2034573 - Fix text input rendering with text-indent. r=layout-reviewers,dholbert
      2026-04-21  9f8191aba14c  Bug 2033384 - Tweak colgroup child suppression. r=layout-reviewers,dshin
      2026-04-20  c1ea0903443b  Bug 2033242 - Rename ownerDocGlobal to documentGlobal, and use it where appropriate in child actors and remote/. r=firefox-desktop-core-reviewers ,credential-management-reviewers,devtools-reviewers,migration-reviewers,frontend-codestyle-reviewers,ai-platform-reviewers,jdescottes,dimi,dao,Gijs,webidl,smaug
